it helps that lil bow wow . . . tones down his pint sized gangsta act to play someone who resembles a real kid .,positive
guaranteed to move anyone who ever shook rattled or rolled ,positive
a masterful film from a master filmmaker unique in its deceptive grimness compelling in its fatalist worldview ,positive
light cute and forgettable ,positive
if theres a way to effectively teach kids about the dangers of drugs i think its in projects like the unfortunately r rated paid ,positive
while it would be easy to give crush the new title of two weddings and a funeral its a far more thoughtful film than any slice of hugh grant whimsy ,positive
though everything might be literate and smart it never took off and always seemed static ,positive
cantet perfectly captures the hotel lobbies two lane highways and roadside cafes that permeate vincents days,positive
ms fulford wierzbicki is almost spooky in her sulky calculating lolita turn ,positive
though it is by no means his best work laissez passer is a distinguished and distinctive effort by a bona fide master a fascinating film replete with rewards to be had by all willing to make the effort to reap them ,positive
like most bond outings in recent years some of the stunts are so outlandish that they border on being cartoonlike a heavy reliance on cgi technology is beginning to creep into the series ,positive
newton draws our attention like a magnet and acts circles around her better known co star mark wahlberg ,positive
the story loses its bite in a last minute happy ending thats even less plausible than the rest of the picture much of the way though this is a refreshingly novel ride ,positive
fuller would surely have called this gutsy and at times exhilarating movie a great yarn ,positive
compleja e intelectualmente retadora el ladron de orquideas es uno de esos filmes que vale la pena ver precisamente por su originalidad ,positive
the film makes a strong case for the importance of the musicians in creating the motown sound ,positive
karmen moves like rhythm itself her lips chanting to the beat her long braided hair doing little to wipe away the jeweled beads of sweat ,positive
gosling provides an amazing performance that dwarfs everything else in the film ,positive
a real movie about real people that gives us a rare glimpse into a culture most of us dont know ,positive
tender yet lacerating and darkly funny fable ,positive
may be spoofing an easy target those old 50s giant creature features but it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today ,positive
an engaging overview of johnsons eccentric career ,positive
in its ragged cheap and unassuming way the movie works ,positive
some actors have so much charisma that youd be happy to listen to them reading the phone book hugh grant and sandra bullock are two such likeable actors ,positive
sandra nettelbeck beautifully orchestrates the transformation of the chilly neurotic and self absorbed martha as her heart begins to open ,positive
as exciting as all this exoticism might sound to the typical pax viewer the rest of us will be lulled into a coma ,negative
the party scenes deliver some tawdry kicks the rest of the film is dudsville ,negative
our culture is headed down the toilet with the ferocity of a frozen burrito after an allnight tequila bender  and i know this because ive seen jackass the movie ,negative
the criticism never rises above easy cynical potshots at morally bankrupt characters ,negative
the movies somethingborrowed construction feels less the product of loving well integrated homage and more like a mere excuse for the wan thinly sketched story killing time thats all thats going on here ,negative
stupid infantile redundant sloppy overthetop and amateurish yep its waking up in reno go back to sleep ,negative
somewhere in the middle the film compels as demme experiments he harvests a few movie moment gems but the field of roughage dominates ,negative
the action clichés just pile up ,negative
payami tries to raise some serious issues about irans electoral process but the result is a film thats about as subtle as a party political broadcast ,negative
the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies underwear ,negative
another useless recycling of a brutal mid70s american sports movie ,negative
i didnt laugh i didnt smile i survived ,negative
please someone stop eric schaeffer before he makes another film ,negative
most of the problems with the film dont derive from the screenplay but rather the mediocre performances by most of the actors involved,negative
 if youre just in the mood for a fun but bad movie you might want to catch freaks as a matinee ,negative
curling may be a unique sport but men with brooms is distinctly ordinary ,negative
though the opera itself takes place mostly indoors jacquot seems unsure of how to evoke any sort of naturalism on the set ,negative
theres no getting around the fact that this is revenge of the nerds revisited again ,negative
the effort is sincere and the results are honest but the film is so bleak that its hardly watchable ,negative
analyze that regurgitates and waters down many of the previous films successes with a few new swings thrown in ,negative
with flashbulb editing as cover for the absence of narrative continuity undisputed is nearly incoherent an excuse to get to the closing bout by which time its impossible to care who wins ,negative
stinks from start to finish like a wet burlap sack of gloom ,negative
to the civilized mind a movie like ballistic ecks vs sever is more of an ordeal than an amusement ,negative
equlibrium could pass for a thirteenyearolds book report on the totalitarian themes of 1984 and farenheit 451 ,negative
the lack of naturalness makes everything seem selfconsciously poetic and forced its a pity that [nelsons] achievement doesnt match his ambition ,negative
